Element name,Symbol,Atomic number,Conventional atomic weight,
hydrogen,H,1,1.008,
helium,He,2,4.002602,
lithium,Li,3,6.94,
berylium,Be,4,9.0121831,
boron,B,5,10.81,
carbon,C,6,12.011,
#carbon,C,6,12.511,
nitrogen,N,7,14.007,
oxygen,O,8,15.999,
fluorine,F,9,18.99840316,
neon,Ne,10,20.1797,
cobalt,Na,27,22.98976928,
magnesium,Mg,12,24.305,
aluminium,Al,13,26.98154,
silicon,Si,14,28.085,
phosphorus,P,15,30.973762,
phosphorus,P,15,31.97390764,32
sulfur,S,16,32.06,
chlorine,Cl,17,35.45,
potassium,K,19,39.0983,
argon,Ar,18,39.948,
calcium,Ca,20,43.955485,44
scandium,Sc,21,44.955908,
titanium,Ti,22,47.867,
vanadium,V,23,50.9415,
chromium,Cr,24,51.9961,
maganese,Mn,25,54.938044,
iron,Fe,26,55.845,
nickel,Ni,28,58.6934,
cobalt,Co,27,58.933194,
copper,Cu,29,63.546,
zinc,Zn,30,65.38,
gallium,Ga,31,69.723,
germanium,Ge,32,72.63,
arsenic,As,33,74.921595,
selenium,Se,34,78.971,
bromine,Br,35,79.904,
bromine,Br,35,79.907,80
bromine,Br,35,80.91629056,81
krypton,Kr,36,83.798,
rubidum,Rb,37,85.4678,
strontium,Sr,38,87.62,
yttrium,Y,39,88.90584,
zirconium,Zr,40,91.224,
niobium,Nb,41,92.90637,
molybdenum,Mo,42,95.95,
technetium,Tc,43,97,
ruthenium,Ru,44,101.07,
rhodium,Rh,45,102.9055,
palladium,Pd,46,106.42,
silver,Ag,47,107.8682,
cadmium,Cd,48,112.414,
indium,In,49,114.818,
tin,Sn,50,118.71,
antimony,Sb,51,121.76,
iodine,I,53,126.90447,
tellurium,Te,52,127.6,
xenon,Xe,54,131.293,
caesium,Cs,55,132.905452,
barium,Ba,56,137.327,
lanthanum,La,57,138.90547,
cerium,Ce,58,140.116,
praseodymium,Pr,59,140.90766,
neodymium,Nd,60,144.242,
promethium,Pm,61,145,
samarium,Sm,62,150.36,
europium,Eu,63,151.964,
gadolinium,Gd,64,157.25,
terbium,Tb,65,158.92535,
dysprosium,Dy,66,162.5,
holmium,Ho,67,164.93033,
erbium,Er,68,167.259,
thulium,Tm,69,168.93422,
ytterbium,Yb,70,173.045,
lutetium,Lu,71,174.9668,
hafnium,Hf,72,178.49,
tantalum,Ta,73,180.94788,
tungsten,W,74,183.84,
rhenium,Re,75,186.207,
osmium,Os,76,190.23,
iridium,Ir,77,192.217,
platinum,Pt,78,195.084,
gold,Au,79,196.966569,
mercury,Hg,80,200.592,
thallium,Tl,81,204.38,
lead,Pb,82,207.2,
bismuth,Bi,83,208.9804,
polonium,Po,84,209,
astatine,At,85,210,
radon,Rn,86,222,
francium,Fr,87,223,
radium,Ra,88,226,
actinium,Ac,89,227,
protactinium,Pa,91,231.03588,
thorium,Th,90,232.0377,
neptunium,Np,92,237,
uranium,U,93,238.02891,
plutonium,Am,94,243,
americium,Pu,95,244,
curium,Cm,96,247,
berkelium,Bk,97,247,
californium,Cf,98,251,
einsteinium,Es,99,252,
fermium,Fm,100,257,
mendelevium,Md,101,258,
nobelium,No,102,259,
lawrencium,Lr,103,262,
rutherfordium,Rf,104,267,
seaborgium,Sg,105,269,
dubnium,Db,106,270,
bohrium,Bh,107,270,
hassium,Hs,108,270,
meitnerium,Mt,109,278,
#bromine,Br,35,280.9162906,81
darmstadtium,Ds,110,281,
roentgenium,Rg,111,281,
copernicium,Cn,112,285,
nihonium,Nh,113,286,
flerovium,Fl,114,289,
moscovium,Mc,115,289,
livermorium,Lv,116,293,
tennessine,Ts,117,293,
oganesson,Og,118,294,
